加载训练数据...
    Epoch      |    Train err  |   Test error  
              0|         0.9089|         0.9059
              1|0.04638333333333333|         0.0443
              2|0.03938333333333333|         0.0371
              3|0.034416666666666665|         0.0324
              4|0.03258333333333333|         0.0307
              5|        0.03155|         0.0289
              6|0.031016666666666668|         0.0288
              7|        0.03115|         0.0289
              8|0.030966666666666667|         0.0288
              9|        0.03085|         0.0285
             10|0.030816666666666666|         0.0287
             11|0.030716666666666666|          0.029
             12|0.030266666666666667|         0.0288
             13|        0.02975|         0.0286
             14|0.029583333333333333|         0.0287
             15|0.029166666666666667|         0.0286
             16|0.028883333333333334|         0.0284
             17|0.028366666666666665|         0.0278
             18|        0.02785|         0.0275
             19|0.027733333333333332|         0.0275
             20|0.027583333333333335|         0.0271
             21|0.027066666666666666|         0.0267
             22|0.026716666666666666|         0.0267
             23|0.026416666666666668|          0.026
             24|0.026183333333333333|         0.0259
             25|        0.02585|         0.0259
             26|0.025633333333333334|         0.0254
             27|0.025316666666666668|         0.0252
             28|0.025116666666666666|          0.025
             29|0.02493333333333333|         0.0245
             30|0.024616666666666665|         0.0242
             31|        0.02445|         0.0242
             32|0.024316666666666667|         0.0241
             33|0.024116666666666668|         0.0241
             34|0.024083333333333335|          0.024
             35|0.023933333333333334|         0.0241
             36|0.023833333333333335|         0.0241
             37|0.023633333333333333|         0.0242
             38|0.023616666666666668|         0.0243
             39|         0.0236|         0.0241
             40|0.023566666666666666|          0.024
             41|0.023483333333333332|         0.0237
             42|0.023583333333333335|         0.0235
             43|        0.02345|         0.0236
             44|         0.0235|         0.0236
             45|0.023383333333333332|         0.0237
             46|         0.0233|         0.0236
             47|        0.02315|         0.0235
             48|0.023016666666666668|         0.0236
             49|        0.02295|         0.0234
