加载训练数据...
     Epoch     |    Train accuracy  |       Test accuracy  
              0| 0.06888333333333334|              0.0657
              1|             0.90525|              0.9105
              2|  0.9107833333333333|              0.9136
              3|  0.9164833333333333|               0.919
              4|  0.9217333333333333|              0.9248
              5|  0.9253333333333333|              0.9296
              6|             0.92885|               0.932
              7|  0.9314333333333333|              0.9337
              8|               0.933|              0.9351
              9|  0.9343833333333333|              0.9361
             10|              0.9354|              0.9366
             11|  0.9363166666666667|              0.9378
             12|  0.9368333333333333|               0.938
             13|  0.9376166666666667|              0.9388
             14|  0.9381333333333334|              0.9392
             15|             0.93845|              0.9391
             16|  0.9387666666666666|              0.9394
             17|  0.9391833333333334|              0.9402
             18|  0.9393333333333334|              0.9405
             19|  0.9396666666666667|              0.9402
